觀測時間(hour),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),全天空日射量(MJ/㎡),測站氣壓(hPa),氣溫(℃),相對溼度(%),風速(m/s),風向(360degree),日期
20,0,0,0,0,,,,,,2024/3/22
21,0,0,0,0,,,,,,2024/3/22
22,0.7,88,0,0,,,,,,2024/3/22
23,0.6,96,0,0,,,,,,2024/3/22
24,1.3,240,0,0,,,,,,2024/3/22
1,1.2,215,0,0,,,,,,2024/3/23
2,1.6,215,0,0,,,,,,2024/3/23
3,1.7,233,0,0,,,,,,2024/3/23
4,1.4,235,0,0,,,,,,2024/3/23
5,0.7,222,0,0,,,,,,2024/3/23
6,1.8,224,0,0,,,,,,2024/3/23
7,1.6,233,0,0.1,,,,,,2024/3/23
8,3.7,217,0,0.8,,,,,,2024/3/23
9,4,226,0,1.5,,,,,,2024/3/23
10,2.9,179,0,2.1,,,,,,2024/3/23
11,2.5,245,0,2.7,,,,,,2024/3/23
12,6.5,133,0,2.9,,,,,,2024/3/23
13,4.3,163,0,3.1,,,,,,2024/3/23
14,3.8,130,0,2,,,,,,2024/3/23
15,3,152,0,1.1,,,,,,2024/3/23
16,3.6,169,0,0.5,,,,,,2024/3/23
17,3.5,137,0,0.1,,,,,,2024/3/23
18,1.8,128,0,0,,,,,,2024/3/23
19,1,58,0,0,,,,,,2024/3/23
20,0.9,15,0,0,,,,,,2024/3/23
21,0,0,0,0,,,,,,2024/3/23
22,0,0,0,0,,,,,,2024/3/23
23,0.2,0,0,0,,,,,,2024/3/23
24,1.1,300,0,0,,,,,,2024/3/23
1,1.9,217,0,0,,,,,,2024/3/24
2,1,240,0,0,,,,,,2024/3/24
3,0.8,220,0,0,,,,,,2024/3/24
4,1.4,252,0,0,,,,,,2024/3/24
5,1.6,262,0,0,,,,,,2024/3/24
6,0.5,253,0,0,,,,,,2024/3/24
7,0.8,244,0,0.1,,,,,,2024/3/24
8,2.4,217,0,0.8,,,,,,2024/3/24
9,3.2,262,0,1.8,,,,,,2024/3/24
10,2.4,134,0,2.3,,,,,,2024/3/24
11,3,222,0,2.6,,,,,,2024/3/24
12,3.3,136,0,3,,,,,,2024/3/24
13,5,144,0,3,,,,,,2024/3/24
14,4.5,147,0,2.8,,,,,,2024/3/24
15,3.9,113,0,2.4,,,,,,2024/3/24
16,3,146,0,1,,,,,,2024/3/24
17,3.3,132,0,0.6,,,,,,2024/3/24
18,2.2,140,0,0.1,,,,,,2024/3/24
19,2.1,219,0,0,,,,,,2024/3/24
20,2.4,122,0,0,,,,,,2024/3/24
21,1.4,142,0,0,,,,,,2024/3/24
22,0.8,221,0,0,,,,,,2024/3/24
23,0.5,220,0,0,,,,,,2024/3/24
24,0,0,0,0,,,,,,2024/3/24
1,0.3,245,0,0,,,,,,2024/3/25
2,0,0,0,0,,,,,,2024/3/25
3,0.2,0,0,0,,,,,,2024/3/25
4,0.6,246,0,0,,,,,,2024/3/25
5,0.8,245,0,0,,,,,,2024/3/25
6,0.6,246,0,0,,,,,,2024/3/25
7,1.4,250,0,0.1,,,,,,2024/3/25
8,1.8,257,0,0.6,,,,,,2024/3/25
9,1.8,234,0,1.7,,,,,,2024/3/25
10,2.2,219,0,2.3,,,,,,2024/3/25
11,4,146,0,3.2,,,,,,2024/3/25
12,4.3,119,0,3.4,,,,,,2024/3/25
13,5.3,146,0,3.3,,,,,,2024/3/25
14,3.9,124,0,3,,,,,,2024/3/25
15,4.6,139,0,2.4,,,,,,2024/3/25
16,3.1,147,0,1,,,,,,2024/3/25
17,2.3,45,0,0.4,,,,,,2024/3/25
18,2.4,221,0,0,,,,,,2024/3/25
19,2.4,141,0,0,,,,,,2024/3/25
20,0.8,204,0,0,,,,,,2024/3/25
21,0.6,52,0,0,,,,,,2024/3/25
22,0.9,27,0,0,,,,,,2024/3/25
23,0.5,97,0,0,,,,,,2024/3/25
24,0.4,180,0,0,,,,,,2024/3/25
1,0,0,0,0,,,,,,2024/3/26
2,0,0,0,0,,,,,,2024/3/26
3,0,0,0,0,,,,,,2024/3/26
4,0.1,0,0,0,,,,,,2024/3/26
5,0.4,167,0,0,,,,,,2024/3/26
6,0,0,0,0,,,,,,2024/3/26
7,0.5,190,0,0.2,,,,,,2024/3/26
8,1.5,207,0,0.9,,,,,,2024/3/26
9,1.7,215,0,1.7,,,,,,2024/3/26
10,3.2,114,0,2.4,,,,,,2024/3/26
11,4.7,85,0,3,,,,,,2024/3/26
12,6,12,0,1.8,,,,,,2024/3/26
13,6.5,76,0,0.2,,,,,,2024/3/26
14,5.2,5,0,0.2,,,,,,2024/3/26
15,6,85,0,0.1,,,,,,2024/3/26
16,4.9,7,0,0.1,,,,,,2024/3/26
17,3.2,360,0,0,,,,,,2024/3/26
18,3.6,21,0,0,,,,,,2024/3/26
19,2.7,28,0,0,,,,,,2024/3/26
20,3.2,70,0,0,,,,,,2024/3/26
21,2,312,0,0,,,,,,2024/3/26
22,1.9,299,0,0,,,,,,2024/3/26
23,0.4,344,0,0,,,,,,2024/3/26
24,0.7,344,0,0,,,,,,2024/3/26
1,0,0,0,0,,,,,,2024/3/27
2,0.8,153,0,0,,,,,,2024/3/27
3,0.9,208,0,0,,,,,,2024/3/27
4,1.1,209,0,0,,,,,,2024/3/27
5,1.2,209,0,0,,,,,,2024/3/27
6,1.2,209,0,0,,,,,,2024/3/27
7,1.6,214,0,0.1,,,,,,2024/3/27
8,1.7,257,0,0.3,,,,,,2024/3/27
9,1.9,262,0,0.6,,,,,,2024/3/27
10,1.8,254,0,1,,,,,,2024/3/27
11,1.9,77,0,2,,,,,,2024/3/27
12,2.8,235,0,1.6,,,,,,2024/3/27
13,3.1,74,0,1.1,,,,,,2024/3/27
14,3.8,108,0,0.7,,,,,,2024/3/27
15,2.3,8,0,0.2,,,,,,2024/3/27
16,1.6,62,0,0.2,,,,,,2024/3/27
17,1.3,14,0,0.2,,,,,,2024/3/27
18,1.1,124,0,0,,,,,,2024/3/27
19,1.3,256,0,0,,,,,,2024/3/27
20,1.6,218,0,0,,,,,,2024/3/27
21,1.8,230,0,0,,,,,,2024/3/27
22,0.9,212,0,0,,,,,,2024/3/27
23,1.3,218,0,0,,,,,,2024/3/27
24,1.3,218,0,0,,,,,,2024/3/27
1,0.8,234,0,0,,,,,,2024/3/28
2,1.8,271,0,0,,,,,,2024/3/28
3,2.3,250,0,0,,,,,,2024/3/28
4,2,243,0,0,,,,,,2024/3/28
5,2.3,269,0,0,,,,,,2024/3/28
6,1.9,215,0,0,,,,,,2024/3/28
7,3,255,0,0.2,,,,,,2024/3/28
8,3.5,205,0,1.1,,,,,,2024/3/28
9,3.2,210,0,2,,,,,,2024/3/28
10,3.3,130,0,2.8,,,,,,2024/3/28
11,3.3,8,0,3.1,,,,,,2024/3/28
12,3.2,100,0,3.2,,,,,,2024/3/28
13,5.1,14,0,2.4,,,,,,2024/3/28
14,4.9,82,0,1.7,,,,,,2024/3/28
15,3.1,22,0,1,,,,,,2024/3/28
16,3.5,343,0,1,,,,,,2024/3/28
17,3.8,106,0,1,,,,,,2024/3/28
18,1.9,36,0,0.1,,,,,,2024/3/28
19,1.5,60,0,0,,,,,,2024/3/28
20,1,339,0,0,,,,,,2024/3/28
21,0.9,53,0,0,,,,,,2024/3/28
22,0.5,105,0,0,,,,,,2024/3/28
23,0.3,89,0,0,,,,,,2024/3/28
24,0.4,113,0,0,,,,,,2024/3/28
1,0.9,113,0,0,1007.8,21.1,100,0,0,2024/3/29
2,0,0,0,0,1007.8,20.9,100,0,0,2024/3/29
3,0,0,0,0,1007.4,20.4,100,0,0,2024/3/29
4,1.1,215,0,0,1007.4,20.4,100,0,0,2024/3/29
5,1.6,251,0,0,1007.9,20.6,100,0.4,252,2024/3/29
6,1.2,246,0,0,1008.4,20.8,100,0.4,241,2024/3/29
7,1.5,201,0,0.1,1009.3,21.5,99,0.3,216,2024/3/29
8,1.6,254,0,0.3,1010.1,22.6,94,0.1,0,2024/3/29
9,1.6,291,0,0.3,1010.6,23.8,88,0,0,2024/3/29
10,4.5,91,0,0.2,1010.9,22.9,93,1.1,65,2024/3/29
11,2.8,37,0,0.2,1011.3,22.3,96,0.1,0,2024/3/29
12,2.2,18,0,0.2,1011.2,21.4,96,0.3,7,2024/3/29
13,3.2,360,0,0.3,1010.6,21,94,0.3,354,2024/3/29
14,2.4,37,0,0.2,1010.4,20.6,97,0.1,0,2024/3/29
15,1.1,334,0,0.3,1010.2,20.9,98,0.2,0,2024/3/29
16,1,326,0,0.2,1010.1,21.3,97,0,0,2024/3/29
17,0.5,325,0,0,1010.6,20.8,98,0,0,2024/3/29
18,0.5,325,0,0,1010.9,20.6,99,0,0,2024/3/29
19,0,0,0,0,1011.6,20.6,100,0,0,2024/3/29
20,0.2,0,0,0,1011.7,20.5,100,0,0,2024/3/29
21,1.2,232,0.5,0,1012.5,20.6,100,0.1,0,2024/3/29
22,1.6,229,0,0,1012.4,20.6,100,0.3,230,2024/3/29
23,1.6,241,0,0,1012.2,20.4,100,0.4,221,2024/3/29
24,1.4,213,0,0,1011.8,20.3,100,0.1,0,2024/3/29
1,1.2,236,0,0,1010.9,20.2,100,0.2,0,2024/3/30
2,1.3,220,0,0,1010.5,20.2,100,0.2,0,2024/3/30
3,1.8,206,0,0,1010.6,20.3,100,0,0,2024/3/30
4,1,220,0,0,1010.2,20.3,100,0,0,2024/3/30
5,1.1,223,0,0,1010.5,20.4,100,0.3,239,2024/3/30
6,2.7,264,0,0,1011.4,20.4,100,0,0,2024/3/30
7,1.8,246,0,0,1011.8,20.8,99,0.4,220,2024/3/30
8,2.5,251,0,0.2,1012.7,21.6,97,0.6,225,2024/3/30
9,1.8,199,0,0.4,1012.8,22.6,92,0.1,0,2024/3/30
10,1.6,280,0,0.6,1012.4,23.7,89,0.2,0,2024/3/30
11,1.9,276,0,1.3,1012.5,25.3,79,0.9,241,2024/3/30
12,2,267,0,1.4,1012.2,26.2,72,0.6,324,2024/3/30
13,2.8,345,0,1.9,1010.4,27.3,66,0.7,258,2024/3/30
14,2.2,84,0,2.8,1009.2,29.2,63,0.6,221,2024/3/30
15,3.3,159,0,2.2,1009,29.6,62,0.7,156,2024/3/30
16,2.5,170,0,0.9,1009,28.4,60,0.5,49,2024/3/30
17,3.2,24,0,0.8,1009.1,26.6,70,0.7,40,2024/3/30
18,1.6,69,0,0.2,1009.6,24.6,78,0,0,2024/3/30
19,1.8,40,0,0,1010.1,22.6,88,0,0,2024/3/30
20,0,0,0,0,1010.3,21.8,94,0,0,2024/3/30
21,0,0,0,0,1010.3,21.1,97,0,0,2024/3/30
22,0.1,0,0,0,1010.3,20.7,98,0,0,2024/3/30
23,1.6,254,0,0,1009.6,20.8,98,0.2,0,2024/3/30
24,1.3,243,0,0,1009.2,20.6,98,0.2,0,2024/3/30
1,1.4,247,0,0,1008.9,20.3,99,0.2,0,2024/3/31
2,1.4,217,0,0,1008.4,20,100,0.3,226,2024/3/31
3,1.6,242,0,0,1007.7,19.8,100,0,0,2024/3/31
4,0.5,252,0,0,1007.7,19.4,100,0,0,2024/3/31
5,1.8,214,0,0,1007.7,19.5,100,0.5,207,2024/3/31
6,2,221,0,0,1008.3,19.4,100,0.2,0,2024/3/31
7,1.4,252,0,0.3,1008.3,20.6,100,0.4,213,2024/3/31
8,1.6,230,0,0.4,1008.7,21.5,96,0.1,0,2024/3/31
9,2.4,187,0,1,1008.6,24.5,83,0.5,218,2024/3/31
10,3.2,349,0,2.4,1008.1,27.7,69,0.7,20,2024/3/31
11,2.9,35,0,1.8,1007.3,27.2,70,0.9,41,2024/3/31
12,2.2,43,0,1.6,1005.8,27.9,66,0.7,271,2024/3/31
13,2.5,107,0,1.4,1004.3,27.7,68,0.7,99,2024/3/31
14,2.7,16,0,1.9,1003.9,28.3,68,1.1,20,2024/3/31
15,2.4,86,0,1,1003,27.9,71,0.8,36,2024/3/31
16,2.8,71,0,0.7,1003.3,26.5,78,0.9,50,2024/3/31
17,3.4,78,0,0.3,1004.1,25.5,79,0.6,57,2024/3/31
18,3.2,90,0,0,1004.5,24.6,82,0.4,349,2024/3/31
19,3.8,29,0,0,1005,24.4,89,1,52,2024/3/31
20,3.9,71,0,0,1006.5,24,91,0,0,2024/3/31
21,1.4,234,0,0,1006,23.4,94,0.1,0,2024/3/31
22,1.4,259,0,0,1007.6,23.5,95,0.3,269,2024/3/31
23,1.7,222,0,0,1008,22.8,98,0.1,0,2024/3/31
24,2.3,240,0,0,1007.3,22.8,98,0.8,230,2024/3/31
1,3.9,216,0,0,1007.5,23.1,97,0.8,249,2024/4/1
2,3.2,284,0,0,1007.1,22.8,95,0.4,259,2024/4/1
3,1.3,109,0,0,1007,22.8,97,0.1,0,2024/4/1
4,0.4,139,0,0,1007.6,22.7,98,0,0,2024/4/1
5,4.8,19,1,0,1009.3,20.1,96,0.3,352,2024/4/1
6,2.3,355,1.5,0,1010.5,19.5,98,0,0,2024/4/1
7,0.5,297,0,0,1011.3,20,99,0,0,2024/4/1
8,1.1,247,0.5,0,1012,20.2,100,0.4,247,2024/4/1
9,1.8,236,0,0.2,1012.2,20.8,99,0.4,221,2024/4/1
10,2.6,297,0,1.7,1011.8,24.5,80,0.8,205,2024/4/1
11,2.6,219,0,2.7,1011.5,26,59,0.6,213,2024/4/1
12,1.6,228,0,1.7,1010.6,27.3,59,0.4,356,2024/4/1
13,2.8,71,0,1.5,1009.8,27,63,0.7,83,2024/4/1
14,2.6,68,0,1.9,1008.9,27.6,59,0.6,27,2024/4/1
15,3.1,36,0,1.4,1008.4,27,66,0.6,54,2024/4/1
16,3.1,66,0,1.3,1008.1,26.2,66,0.8,51,2024/4/1
17,2.4,15,0,0.5,1008.6,24.8,75,0.3,39,2024/4/1
18,2.1,68,0,0,1008.5,23.5,82,0,0,2024/4/1
19,0,0,0,0,1008.8,22.4,90,0,0,2024/4/1
20,0.4,354,0,0,1009.6,22.1,92,0,0,2024/4/1
21,0.6,5,0,0,1010.2,22.1,93,0,0,2024/4/1
22,1,217,0,0,1009.5,21.8,93,0.1,0,2024/4/1
23,1.2,250,0,0,1008.6,20.7,96,0,0,2024/4/1
24,0,0,0,0,1008.1,20.1,98,0,0,2024/4/1
1,0.5,266,0,0,1007.6,19.6,99,0,0,2024/4/2
2,0.4,263,0,0,1007,19.1,100,0,0,2024/4/2
3,0,0,0,0,1006.8,18.6,100,0,0,2024/4/2
4,0,0,0,0,1006.8,18.6,100,0,0,2024/4/2
5,0,0,0,0,1007.5,18.3,100,0,0,2024/4/2
6,0,0,0,0,1008.6,18.7,100,0,0,2024/4/2
7,1.3,242,0,0.2,1009.2,19.8,100,0.3,223,2024/4/2
8,2.2,209,0,1.1,1009.9,23,88,0.4,224,2024/4/2
9,2.8,256,0,1.9,1010.1,26.2,74,0.6,215,2024/4/2
10,3.2,218,0,2.7,1009.8,28.1,68,1,267,2024/4/2
11,3.2,258,0,3.2,1009.2,29.5,61,1.1,254,2024/4/2
12,4.5,280,0,3.4,1008.3,31.2,56,0.8,215,2024/4/2
13,3.6,134,0,3.5,1007.1,31.8,58,1,155,2024/4/2
14,4.4,244,0,3.1,1006.1,31.1,61,0.9,154,2024/4/2
15,4.5,151,0,1.5,1005.5,30.2,65,0.8,157,2024/4/2
16,3.5,137,0,1.6,1005.3,29.7,68,0.6,171,2024/4/2
17,3.7,184,0,0.4,1005.3,27.5,76,0.5,208,2024/4/2
18,2.9,213,0,0.1,1005.4,26.5,81,0.3,215,2024/4/2
19,1.1,99,0,0,1005.5,25.4,87,0.1,0,2024/4/2
20,0.4,261,0,0,1005.9,23.8,94,0,0,2024/4/2
21,0,0,0,0,1006.2,23.5,96,0,0,2024/4/2
22,0,0,0,0,1006.1,22.8,97,0,0,2024/4/2
23,0,0,0,0,1005.6,22.2,99,0,0,2024/4/2
24,0.8,130,0,0,1005.7,21.8,99,0,0,2024/4/2
1,0.4,130,0,0,1005.3,21.3,100,0,0,2024/4/3
2,0.4,201,0,0,1005.4,21.1,100,0,0,2024/4/3
3,1,181,0,0,1005.3,20.9,100,0,0,2024/4/3
4,0,0,0,0,1005.4,20.5,100,0,0,2024/4/3
5,0.7,235,0,0,1006.1,20.4,100,0,0,2024/4/3
6,0.4,236,0,0,1007.2,20.3,100,0,0,2024/4/3
7,1.4,220,0,0.2,1008.1,21.3,100,0.6,221,2024/4/3
8,1.9,207,0,1,1008.4,25.1,84,0.4,229,2024/4/3
9,1.8,201,0,1.7,1008.5,27.8,72,0.4,224,2024/4/3
10,2,117,0,2.6,1007.8,30.3,66,0.6,82,2024/4/3
11,3.3,3,0,2.9,1007.1,31.1,67,1,40,2024/4/3
12,4.9,111,0,3.2,1006.1,30.2,72,1.4,75,2024/4/3
13,4.8,69,0,3.1,1005.4,30,71,1.1,54,2024/4/3
14,3.6,68,0,2.8,1004.1,30,73,1.2,74,2024/4/3
15,4.2,37,0,2.4,1003.5,30.1,71,1.3,58,2024/4/3
16,4,66,0,1.7,1003.5,29.1,77,1.1,58,2024/4/3
17,3.9,74,0,0.7,1003.9,27.7,83,0.7,53,2024/4/3
18,2.5,23,0,0.1,1004.2,26.3,88,0.1,0,2024/4/3
19,1.9,133,0,0,1005.2,25.2,92,0.2,0,2024/4/3
20,2.7,70,0,0,1005.9,24.5,95,0,0,2024/4/3
21,1.4,35,0,0,1006.5,24.2,97,0,0,2024/4/3
22,0.8,10,0,0,1006.8,24.2,97,0,0,2024/4/3
23,0.4,10,0,0,1006.7,24.1,98,0,0,2024/4/3
24,1,360,0,0,1007,23.2,97,0,0,2024/4/3
1,0.6,23,0,0,1006.9,22.9,96,0,0,2024/4/4
2,2.1,352,0,0,1007,24.1,94,0.2,0,2024/4/4
3,2,308,0,0,1006.7,24.6,85,0.1,0,2024/4/4
4,0.4,6,0,0,1006.7,23.2,91,0,0,2024/4/4
5,1.2,6,0,0,1007.1,22.2,96,0,0,2024/4/4
6,0,0,0,0,1007.5,22.2,96,0,0,2024/4/4
7,1.2,281,0,0.1,1008.6,23.7,92,0.4,240,2024/4/4
8,2.7,221,0,0.8,1009.2,26.8,78,0.7,232,2024/4/4
9,1.9,189,0,1.8,1009.5,29.5,67,0.2,0,2024/4/4
10,2.6,151,0,2.4,1009.4,30.6,66,0.6,68,2024/4/4
11,5.1,36,0,3.1,1008.8,31,67,1.5,63,2024/4/4
12,5.3,131,0,3.4,1008,30.5,68,1.7,81,2024/4/4
13,3.9,78,0,3.3,1007.6,31.4,66,1.4,54,2024/4/4
14,4.5,79,0,3,1006.7,30.7,70,1.4,80,2024/4/4
15,5.6,110,0,2.3,1006.4,29.5,72,1.5,55,2024/4/4
16,5.1,102,0,0.7,1006.6,27.2,84,1.2,78,2024/4/4
17,4.3,82,0,0.4,1007.2,26.6,86,1.1,78,2024/4/4
18,3,113,0,0,1007.8,26.1,88,0.4,43,2024/4/4
19,3.4,284,0,0,1008.3,25.4,88,0.3,33,2024/4/4
20,0.8,38,0,0,1008.8,25,92,0,0,2024/4/4
21,0,0,0,0,1009.5,24.7,94,0,0,2024/4/4
22,0.5,33,0,0,1010,24.5,95,0,0,2024/4/4
23,0.1,0,0,0,1010.2,24.2,97,0,0,2024/4/4
24,0.4,168,0,0,1010.4,24.3,97,0,0,2024/4/4
1,0.3,168,0,0,1010.1,24.1,97,0,0,2024/4/5
2,4.1,41,0,0,1009.7,23.6,95,1.4,67,2024/4/5
3,3.6,96,2,0,1009.7,22.6,98,0.1,0,2024/4/5
4,1.5,63,0,0,1009.1,22.6,99,0,0,2024/4/5
5,0,0,0,0,1009.1,22.5,100,0,0,2024/4/5
6,0.8,76,0,0,1009.2,22.5,100,0,0,2024/4/5
7,0.8,115,0,0.2,1009.6,23.2,99,0.1,0,2024/4/5
8,1.1,350,0,0.6,1010.5,24.3,94,0.1,0,2024/4/5
9,3,70,0,0.9,1010.8,24.4,89,0.9,39,2024/4/5
10,3.4,19,0,0.5,1011.3,23.8,89,1,61,2024/4/5
11,3.5,141,0,0.3,1011.2,23.2,91,0.8,59,2024/4/5
12,3.1,89,0,0.3,1010.9,22.8,95,0.9,50,2024/4/5
13,3.2,67,0,0.3,1010.1,23,93,0.7,60,2024/4/5
14,3.2,49,0,0.2,1009.8,22.7,93,0.6,62,2024/4/5
15,2.3,82,0,0.2,1009.3,22.4,94,0.3,50,2024/4/5
16,1.9,77,0,0.1,1009.6,22.2,95,0,0,2024/4/5
17,0.7,260,0,0,1010.1,22,98,0,0,2024/4/5
18,1,297,0.5,0,1010.6,21.6,99,0.2,0,2024/4/5
19,1.4,310,0,0,1011.1,21.5,99,0,0,2024/4/5
20,1.1,354,1,0,1011.8,21.4,100,0.1,0,2024/4/5
21,0,0,0,0,1012.3,21.5,100,0,0,2024/4/5
22,0,0,0,0,1012.4,21.6,100,0,0,2024/4/5
23,0.3,336,0.5,0,1012.6,21.5,100,0,0,2024/4/5
24,0.3,336,0.5,0,1012.1,21.4,100,0,0,2024/4/5
1,0,0,0,0,1011.6,21.4,100,0,0,2024/4/6
2,0,0,0,0,1011.3,21.4,100,0,0,2024/4/6
3,0,0,0,0,1011,21.4,100,0,0,2024/4/6
4,0,0,0,0,1010.8,21.4,100,0,0,2024/4/6
5,0,0,0.5,0,1010.8,21.6,100,0,0,2024/4/6
6,0,0,0,0,1011,21.6,100,0,0,2024/4/6
7,0.2,0,0,0,1011.6,21.9,100,0,0,2024/4/6
8,0,0,0,0.2,1012.1,22.2,100,0,0,2024/4/6
9,0.5,303,0,0.3,1012.2,22.7,100,0,0,2024/4/6
10,1.8,301,0,1.5,1012,25.1,88,0.4,258,2024/4/6
11,2.6,227,0,2.6,1011.5,27.5,76,0.7,215,2024/4/6
12,3.6,117,0,1.2,1010.8,25.1,87,1,75,2024/4/6
13,3.4,103,0,0.5,1010.3,24.4,91,0.7,54,2024/4/6
14,2.8,40,0,0.1,1009.5,23.5,94,0.2,0,2024/4/6
15,1.8,31,4.5,0.1,1009.3,23,98,0.1,0,2024/4/6
16,2.2,6,0,0.2,1009,22.8,98,0,0,2024/4/6
17,0.7,9,0,0.1,1008.9,23,98,0,0,2024/4/6
18,0,0,0,0,1009.4,22.8,99,0,0,2024/4/6
19,0,0,0,0,1009.8,22.8,100,0,0,2024/4/6
20,0,0,0,0,1010.3,22.7,100,0,0,2024/4/6
21,0,0,0,0,1010.5,22.7,100,0,0,2024/4/6
22,0,0,0,0,1010.4,22.7,100,0,0,2024/4/6
23,0.8,32,0,0,1010.3,22.4,100,0,0,2024/4/6
24,0.8,270,0,0,1009.7,22.4,100,0,0,2024/4/6
1,0.5,270,0,0,1009.1,22.4,100,0,0,2024/4/7
2,0.9,270,0,0,1008.3,22,100,0,0,2024/4/7
3,0.5,270,0.5,0,1008.1,21.7,100,0,0,2024/4/7
4,0.7,269,0,0,1008.1,22,100,0,0,2024/4/7
5,1,269,0,0,1007.8,22.1,100,0,0,2024/4/7
6,0.5,268,1,0,1008.1,22,100,0,0,2024/4/7
7,0,0,0,0,1008.9,22.1,100,0,0,2024/4/7
8,0.9,257,1,0.1,1009.5,22.6,100,0.1,0,2024/4/7
9,2.2,211,0,0.3,1009.3,22.9,100,0.3,217,2024/4/7
10,1.5,274,0,0.6,1009.1,23.6,100,0.1,0,2024/4/7
11,2.5,270,0,1.9,1008.9,26.5,85,0.6,198,2024/4/7
12,3.3,108,0,2.7,1008.5,27.2,79,1,42,2024/4/7
13,4.5,22,0,2.7,1007.9,27,80,1.7,78,2024/4/7
14,5,104,0,1.3,1006.8,25.9,84,1.3,59,2024/4/7
15,3.8,74,0,0.7,1006.4,25.7,86,1.2,64,2024/4/7
16,4.5,82,0,0.5,1006.8,25.5,87,1.3,70,2024/4/7
17,4.5,89,0,0.2,1006.8,25.2,88,0.9,58,2024/4/7
18,3.3,40,0,0.1,1007.3,24.5,91,0.7,34,2024/4/7
19,2.7,74,0,0,1007.7,23.7,95,0,0,2024/4/7
20,0,0,0,0,1008.4,23.2,98,0,0,2024/4/7
21,0.3,320,0,0,1008.6,22.9,99,0,0,2024/4/7
22,0,0,0,0,1008.9,22.7,99,0,0,2024/4/7
23,0.4,312,0,0,1008.6,22.8,99,0,0,2024/4/7
24,0.6,311,0,0,1008.3,22.7,99,0,0,2024/4/7
1,0.6,311,0,0,1007.6,22.6,100,0,0,2024/4/8
2,0.8,311,0,0,1006.7,22.4,100,0,0,2024/4/8
3,0.6,311,0,0,1006.3,22.3,100,0,0,2024/4/8
4,0,0,0,0,1006.2,22,100,0,0,2024/4/8
5,0,0,0,0,1006.6,21.9,100,0,0,2024/4/8
6,0.2,0,0,0,1006.9,21.8,100,0,0,2024/4/8
7,1.1,243,0,0.2,1007.7,22.7,100,0.3,241,2024/4/8
8,2.5,131,0,0.8,1007.3,25,93,0.7,214,2024/4/8
9,2.1,265,0,1.5,1007.9,27,79,0.3,217,2024/4/8
10,3.3,29,0,1.8,1008.5,27.8,75,1.1,66,2024/4/8
11,4.8,116,0,2.3,1008.3,28.5,76,1.4,85,2024/4/8
12,5.2,112,0,2.2,1007.7,27.6,81,1,63,2024/4/8
13,3.9,93,0,2.3,1006.8,28,75,0.9,88,2024/4/8
14,3.9,87,0,1.7,1006.2,27.6,77,1.4,67,2024/4/8
15,4.8,42,0,1.5,1005.7,27.3,79,1.2,66,2024/4/8
16,3.1,55,0,0.7,1005.5,26.2,84,0.9,78,2024/4/8
17,3.7,95,0,0.7,1006.3,25.9,84,1.1,63,2024/4/8
18,3.3,32,0,0.1,1007,24.9,89,1.3,73,2024/4/8
19,4,28,0,0,1008,24.5,91,1.1,67,2024/4/8
20,3.6,96,0,0,1008.9,24.2,92,0.7,55,2024/4/8
21,3.7,98,0,0,1009.7,24.1,92,1.1,64,2024/4/8
22,4,76,0,0,1010.3,23.8,92,1.4,66,2024/4/8
23,4.1,48,0,0,1010.3,23.2,93,1,52,2024/4/8
24,5.9,337,0,0,1010.2,21.7,95,1.4,53,2024/4/8
1,4.2,76,0,0,1009.6,21.7,94,0.7,47,2024/4/9
2,4.7,96,&,0,1009.3,21.4,91,0.9,56,2024/4/9
3,3.2,75,0,0,1009.6,21.2,90,0.4,30,2024/4/9
4,2.1,86,0,0,1009.9,21,92,0.3,2,2024/4/9
5,2.1,37,0.5,0,1010.6,20.4,97,0.1,0,2024/4/9
6,1.2,283,1,0,1011.5,20.3,99,0.2,0,2024/4/9
7,1.9,67,1.5,0,1012.2,19.9,99,0.2,0,2024/4/9
8,2,26,1,0.1,1013.1,19.9,99,0,0,2024/4/9
9,1.8,354,1,0.1,1013.6,20,100,0,0,2024/4/9
10,3.3,110,0.5,0.2,1014,20.2,98,0.3,324,2024/4/9
11,2.2,29,0,0.3,1013.8,20.5,96,0.7,5,2024/4/9
12,2.8,349,0,0.3,1014.1,20.5,95,0.2,0,2024/4/9
13,2.2,304,0.5,0.4,1013.5,20.7,93,0.2,0,2024/4/9
14,3.7,62,0,0.4,1013.3,21.2,88,0.6,57,2024/4/9
15,5.5,76,0,0.4,1013.3,21.1,86,1.6,54,2024/4/9
16,4.3,52,0,0.2,1013.5,21,85,1.2,56,2024/4/9
17,4.9,69,0,0.1,1013.8,21.1,85,1,77,2024/4/9
18,6.1,68,0,0,1014.2,20.9,86,0.9,55,2024/4/9
19,4.7,69,0,0,1014.5,20.8,86,0.9,45,2024/4/9
20,4.7,14,0,0,1015.2,20.6,83,0.7,40,2024/4/9
21,2.7,37,0,0,1016,20.4,82,0.6,356,2024/4/9
22,1.8,312,0,0,1015.8,20,87,0,0,2024/4/9
23,0.5,347,0,0,1015.3,19.5,94,0,0,2024/4/9
24,0.5,201,0,0,1014.2,19.4,90,0.1,0,2024/4/9
1,0.6,205,0,0,1013.5,19.3,94,0,0,2024/4/10
2,0.9,205,0,0,1012.9,19.3,94,0,0,2024/4/10
